ensembl_id,gene_symbol,peptide_id,peptide_id_version,species
ENSMFAG00000000025,SKA1,ENSMFAP00000001908,ENSMFAP00000001908.2,macaque
ENSMFAG00000000025,SKA1,ENSMFAP00000001910,ENSMFAP00000001910.2,macaque
ENSMFAG00000000028,SLITRK1,ENSMFAP00000001868,ENSMFAP00000001868.2,macaque
ENSMFAG00000000029,PNMA2,ENSMFAP00000001844,ENSMFAP00000001844.1,macaque
ENSMFAG00000000034,NA,ENSMFAP00000001715,ENSMFAP00000001715.2,macaque
ENSMFAG00000000036,SLC5A5,ENSMFAP00000056247,ENSMFAP00000056247.1,macaque
ENSMFAG00000000036,SLC5A5,ENSMFAP00000001661,ENSMFAP00000001661.2,macaque
ENSMFAG00000000036,SLC5A5,ENSMFAP00000057480,ENSMFAP00000057480.1,macaque
ENSMFAG00000000037,GRB2,ENSMFAP00000001623,ENSMFAP00000001623.1,macaque
ENSMFAG00000000037,GRB2,ENSMFAP00000001624,ENSMFAP00000001624.1,macaque
ENSMFAG00000000037,GRB2,ENSMFAP00000063617,ENSMFAP00000063617.1,macaque
ENSMFAG00000000037,GRB2,ENSMFAP00000048097,ENSMFAP00000048097.1,macaque
ENSMFAG00000000037,GRB2,ENSMFAP00000001625,ENSMFAP00000001625.1,macaque
ENSMFAG00000000038,EEA1,ENSMFAP00000001591,ENSMFAP00000001591.2,macaque
ENSMFAG00000000038,EEA1,ENSMFAP00000001592,ENSMFAP00000001592.2,macaque
ENSMFAG00000000039,ID2,ENSMFAP00000001586,ENSMFAP00000001586.2,macaque
ENSMFAG00000000040,ADAMTS13,ENSMFAP00000001559,ENSMFAP00000001559.2,macaque
ENSMFAG00000000041,HS3ST2,ENSMFAP00000001518,ENSMFAP00000001518.1,macaque
ENSMFAG00000000042,KRR1,ENSMFAP00000001463,ENSMFAP00000001463.2,macaque
ENSMFAG00000000042,KRR1,ENSMFAP00000001462,ENSMFAP00000001462.2,macaque
ENSMFAG00000000042,KRR1,ENSMFAP00000053883,ENSMFAP00000053883.1,macaque
ENSMFAG00000000043,MCCC1,ENSMFAP00000024694,ENSMFAP00000024694.2,macaque
ENSMFAG00000000043,MCCC1,ENSMFAP00000001466,ENSMFAP00000001466.2,macaque
ENSMFAG00000000043,MCCC1,ENSMFAP00000001467,ENSMFAP00000001467.2,macaque
ENSMFAG00000000043,MCCC1,ENSMFAP00000001468,ENSMFAP00000001468.2,macaque
ENSMFAG00000000043,MCCC1,ENSMFAP00000001465,ENSMFAP00000001465.2,macaque
ENSMFAG00000000044,NA,ENSMFAP00000001416,ENSMFAP00000001416.2,macaque
ENSMFAG00000000044,NA,ENSMFAP00000001418,ENSMFAP00000001418.2,macaque
