ensembl_gene_id,gene_symbol,ensembl_transcript_id,ensembl_transcript_id_version,peptide_id,peptide_id_version,transcript_is_canonical,species
ENSG00000198888,MT-ND1,ENST00000361390,ENST00000361390.2,ENSP00000354687,ENSP00000354687.2,1.0,human
ENSG00000198763,MT-ND2,ENST00000361453,ENST00000361453.3,ENSP00000355046,ENSP00000355046.4,1.0,human
ENSG00000198804,MT-CO1,ENST00000361624,ENST00000361624.2,ENSP00000354499,ENSP00000354499.2,1.0,human
ENSG00000198712,MT-CO2,ENST00000361739,ENST00000361739.1,ENSP00000354876,ENSP00000354876.1,1.0,human
ENSG00000228253,MT-ATP8,ENST00000361851,ENST00000361851.1,ENSP00000355265,ENSP00000355265.1,1.0,human
ENSG00000198899,MT-ATP6,ENST00000361899,ENST00000361899.2,ENSP00000354632,ENSP00000354632.2,1.0,human
ENSG00000198938,MT-CO3,ENST00000362079,ENST00000362079.2,ENSP00000354982,ENSP00000354982.2,1.0,human
ENSG00000198840,MT-ND3,ENST00000361227,ENST00000361227.2,ENSP00000355206,ENSP00000355206.2,1.0,human
ENSG00000212907,MT-ND4L,ENST00000361335,ENST00000361335.1,ENSP00000354728,ENSP00000354728.1,1.0,human
ENSG00000198886,MT-ND4,ENST00000361381,ENST00000361381.2,ENSP00000354961,ENSP00000354961.2,1.0,human
ENSG00000198786,MT-ND5,ENST00000361567,ENST00000361567.2,ENSP00000354813,ENSP00000354813.2,1.0,human
ENSG00000198695,MT-ND6,ENST00000361681,ENST00000361681.2,ENSP00000354665,ENSP00000354665.2,1.0,human
ENSG00000198727,MT-CYB,ENST00000361789,ENST00000361789.2,ENSP00000354554,ENSP00000354554.2,1.0,human
ENSG00000278704,,ENST00000618686,ENST00000618686.1,ENSP00000484918,ENSP00000484918.1,1.0,human
ENSG00000271254,,ENST00000614336,ENST00000614336.4,ENSP00000484923,ENSP00000484923.1,,human
ENSG00000277196,,ENST00000621424,ENST00000621424.4,ENSP00000481127,ENSP00000481127.1,1.0,human
ENSG00000271254,,ENST00000612640,ENST00000612640.4,ENSP00000478665,ENSP00000478665.1,1.0,human
ENSG00000277196,,ENST00000615165,ENST00000615165.1,ENSP00000482462,ENSP00000482462.1,,human
ENSG00000278817,,ENST00000613204,ENST00000613204.1,ENSP00000482514,ENSP00000482514.1,1.0,human
ENSG00000276017,,ENST00000617983,ENST00000617983.1,ENSP00000481613,ENSP00000481613.1,1.0,human
ENSG00000277630,,ENST00000616049,ENST00000616049.4,ENSP00000479139,ENSP00000479139.1,1.0,human
ENSG00000277630,,ENST00000616157,ENST00000616157.1,ENSP00000477677,ENSP00000477677.1,,human
ENSG00000276256,,ENST00000612465,ENST00000612465.1,ENSP00000484596,ENSP00000484596.1,1.0,human
ENSG00000278384,,ENST00000612565,ENST00000612565.1,ENSP00000480106,ENSP00000480106.1,1.0,human
ENSG00000268674,,ENST00000601199,ENST00000601199.2,ENSP00000473163,ENSP00000473163.2,1.0,human
ENSG00000277475,,ENST00000612315,ENST00000612315.1,ENSP00000478882,ENSP00000478882.1,1.0,human
ENSG00000275063,,ENST00000618003,ENST00000618003.1,ENSP00000478289,ENSP00000478289.1,1.0,human
ENSG00000277856,,ENST00000619729,ENST00000619729.1,ENSP00000481152,ENSP00000481152.1,1.0,human
ENSSSCG00000018065,ND1,ENSSSCT00000019660,ENSSSCT00000019660.4,ENSSSCP00000019135,ENSSSCP00000019135.3,1.0,pig
ENSSSCG00000018069,ND2,ENSSSCT00000019664,ENSSSCT00000019664.4,ENSSSCP00000019136,ENSSSCP00000019136.3,1.0,pig
ENSSSCG00000018075,COX1,ENSSSCT00000019670,ENSSSCT00000019670.1,ENSSSCP00000019137,ENSSSCP00000019137.1,1.0,pig
ENSSSCG00000018078,COX2,ENSSSCT00000019673,ENSSSCT00000019673.1,ENSSSCP00000019138,ENSSSCP00000019138.1,1.0,pig
ENSSSCG00000018080,ATP8,ENSSSCT00000019675,ENSSSCT00000019675.1,ENSSSCP00000019139,ENSSSCP00000019139.1,1.0,pig
ENSSSCG00000018081,ATP6,ENSSSCT00000019676,ENSSSCT00000019676.1,ENSSSCP00000019140,ENSSSCP00000019140.1,1.0,pig
ENSSSCG00000018082,COX3,ENSSSCT00000019677,ENSSSCT00000019677.1,ENSSSCP00000019141,ENSSSCP00000019141.1,1.0,pig
ENSSSCG00000018084,ND3,ENSSSCT00000019679,ENSSSCT00000019679.3,ENSSSCP00000019142,ENSSSCP00000019142.2,1.0,pig
ENSSSCG00000018086,ND4L,ENSSSCT00000019681,ENSSSCT00000019681.2,ENSSSCP00000019143,ENSSSCP00000019143.2,1.0,pig
ENSSSCG00000018087,ND4,ENSSSCT00000019682,ENSSSCT00000019682.3,ENSSSCP00000019144,ENSSSCP00000019144.3,1.0,pig
ENSSSCG00000018091,ND5,ENSSSCT00000019686,ENSSSCT00000019686.3,ENSSSCP00000019145,ENSSSCP00000019145.3,1.0,pig
ENSSSCG00000018092,ND6,ENSSSCT00000019687,ENSSSCT00000019687.1,ENSSSCP00000019146,ENSSSCP00000019146.1,1.0,pig
ENSSSCG00000018094,CYTB,ENSSSCT00000019689,ENSSSCT00000019689.3,ENSSSCP00000019147,ENSSSCP00000019147.3,1.0,pig
ENSSSCG00000052911,,ENSSSCT00000099167,ENSSSCT00000099167.1,ENSSSCP00000079192,ENSSSCP00000079192.1,1.0,pig
ENSSSCG00000060875,,ENSSSCT00000091307,ENSSSCT00000091307.1,ENSSSCP00000070030,ENSSSCP00000070030.1,1.0,pig
ENSSSCG00000057402,,ENSSSCT00000046204,ENSSSCT00000046204.2,ENSSSCP00000037167,ENSSSCP00000037167.1,1.0,pig
ENSSSCG00000049348,,ENSSSCT00000073435,ENSSSCT00000073435.1,ENSSSCP00000067332,ENSSSCP00000067332.1,1.0,pig
ENSSSCG00000063401,,ENSSSCT00000072658,ENSSSCT00000072658.1,ENSSSCP00000067187,ENSSSCP00000067187.1,1.0,pig
ENSSSCG00000059619,,ENSSSCT00000102462,ENSSSCT00000102462.1,ENSSSCP00000081186,ENSSSCP00000081186.1,1.0,pig
ENSSSCG00000040808,,ENSSSCT00000040563,ENSSSCT00000040563.4,ENSSSCP00000051859,ENSSSCP00000051859.1,1.0,pig
ENSSSCG00000036316,,ENSSSCT00000047353,ENSSSCT00000047353.2,ENSSSCP00000058575,ENSSSCP00000058575.2,1.0,pig
ENSSSCG00000053435,,ENSSSCT00000104769,ENSSSCT00000104769.1,ENSSSCP00000075708,ENSSSCP00000075708.1,1.0,pig
ENSSSCG00000061231,,ENSSSCT00000103607,ENSSSCT00000103607.1,ENSSSCP00000074629,ENSSSCP00000074629.1,1.0,pig
ENSSSCG00000061231,,ENSSSCT00000097872,ENSSSCT00000097872.1,ENSSSCP00000074858,ENSSSCP00000074858.1,,pig
ENSSSCG00000032661,,ENSSSCT00000056752,ENSSSCT00000056752.3,ENSSSCP00000052684,ENSSSCP00000052684.1,,pig
ENSSSCG00000032661,,ENSSSCT00000056762,ENSSSCT00000056762.3,ENSSSCP00000034541,ENSSSCP00000034541.1,1.0,pig
ENSSSCG00000063414,,ENSSSCT00000096492,ENSSSCT00000096492.1,ENSSSCP00000080464,ENSSSCP00000080464.1,1.0,pig
ENSRNOG00000030644,Mt-nd1,ENSRNOT00000047550,ENSRNOT00000047550.5,ENSRNOP00000049172,ENSRNOP00000049172.5,1.0,rat
ENSRNOG00000031033,Mt-nd2,ENSRNOT00000040993,ENSRNOT00000040993.5,ENSRNOP00000043885,ENSRNOP00000043885.4,1.0,rat
ENSRNOG00000034234,Mt-co1,ENSRNOT00000050156,ENSRNOT00000050156.4,ENSRNOP00000039048,ENSRNOP00000039048.4,1.0,rat
ENSRNOG00000030371,Mt-co2,ENSRNOT00000043693,ENSRNOT00000043693.4,ENSRNOP00000046414,ENSRNOP00000046414.4,1.0,rat
ENSRNOG00000033299,Mt-atp8,ENSRNOT00000046201,ENSRNOT00000046201.4,ENSRNOP00000042521,ENSRNOP00000042521.4,1.0,rat
ENSRNOG00000031979,Mt-atp6,ENSRNOT00000046108,ENSRNOT00000046108.4,ENSRNOP00000049769,ENSRNOP00000049769.4,1.0,rat
ENSRNOG00000030700,Mt-co3,ENSRNOT00000049683,ENSRNOT00000049683.4,ENSRNOP00000051326,ENSRNOP00000051326.3,1.0,rat
ENSRNOG00000033615,Mt-nd3,ENSRNOT00000041241,ENSRNOT00000041241.4,ENSRNOP00000039725,ENSRNOP00000039725.5,1.0,rat
ENSRNOG00000031053,Mt-nd4l,ENSRNOT00000044582,ENSRNOT00000044582.4,ENSRNOP00000042064,ENSRNOP00000042064.3,1.0,rat
ENSRNOG00000029707,Mt-nd4,ENSRNOT00000042928,ENSRNOT00000042928.4,ENSRNOP00000043141,ENSRNOP00000043141.4,1.0,rat
ENSRNOG00000029971,Mt-nd5,ENSRNOT00000048767,ENSRNOT00000048767.4,ENSRNOP00000044573,ENSRNOP00000044573.4,1.0,rat
ENSRNOG00000029042,Mt-nd6,ENSRNOT00000051268,ENSRNOT00000051268.4,ENSRNOP00000045645,ENSRNOP00000045645.4,1.0,rat
ENSRNOG00000031766,Mt-cyb,ENSRNOT00000042098,ENSRNOT00000042098.4,ENSRNOP00000047954,ENSRNOP00000047954.4,1.0,rat
ENSRNOG00000055439,AABR07008608.1,ENSRNOT00000077597,ENSRNOT00000077597.3,ENSRNOP00000073919,ENSRNOP00000073919.2,1.0,rat
ENSRNOG00000033837,Cdh9,ENSRNOT00000127660,ENSRNOT00000127660.1,ENSRNOP00000102784,ENSRNOP00000102784.1,1.0,rat
ENSRNOG00000033837,Cdh9,ENSRNOT00000043050,ENSRNOT00000043050.7,ENSRNOP00000043328,ENSRNOP00000043328.5,,rat
ENSRNOG00000009771,Cdh10,ENSRNOT00000013152,ENSRNOT00000013152.6,ENSRNOP00000013152,ENSRNOP00000013152.2,1.0,rat
ENSRNOG00000026392,Cdh12,ENSRNOT00000034044,ENSRNOT00000034044.7,ENSRNOP00000032511,ENSRNOP00000032511.4,1.0,rat
ENSRNOG00000026392,Cdh12,ENSRNOT00000159618,ENSRNOT00000159618.1,ENSRNOP00000107340,ENSRNOP00000107340.1,,rat
ENSRNOG00000013535,Cdh6,ENSRNOT00000018246,ENSRNOT00000018246.9,ENSRNOP00000018246,ENSRNOP00000018246.8,1.0,rat
ENSRNOG00000022745,C2h5orf22,ENSRNOT00000094063,ENSRNOT00000094063.2,ENSRNOP00000086868,ENSRNOP00000086868.1,1.0,rat
ENSRNOG00000013451,Drosha,ENSRNOT00000098160,ENSRNOT00000098160.2,ENSRNOP00000076463,ENSRNOP00000076463.2,,rat
ENSRNOG00000013451,Drosha,ENSRNOT00000144271,ENSRNOT00000144271.1,ENSRNOP00000108749,ENSRNOP00000108749.1,,rat
ENSRNOG00000013451,Drosha,ENSRNOT00000048026,ENSRNOT00000048026.8,ENSRNOP00000050633,ENSRNOP00000050633.5,1.0,rat
ENSRNOG00000009523,Rab11fip2,ENSRNOT00000012734,ENSRNOT00000012734.9,ENSRNOP00000012734,ENSRNOP00000012734.7,,rat
ENSRNOG00000009523,Rab11fip2,ENSRNOT00000102047,ENSRNOT00000102047.2,ENSRNOP00000087438,ENSRNOP00000087438.1,,rat
ENSRNOG00000009523,Rab11fip2,ENSRNOT00000081218,ENSRNOT00000081218.3,ENSRNOP00000087232,ENSRNOP00000087232.1,,rat
ENSRNOG00000009523,Rab11fip2,ENSRNOT00000097684,ENSRNOT00000097684.2,ENSRNOP00000088001,ENSRNOP00000088001.1,1.0,rat
ENSRNOG00000009830,Fam204a,ENSRNOT00000013031,ENSRNOT00000013031.8,ENSRNOP00000013031,ENSRNOP00000013031.5,1.0,rat
ENSRNOG00000009922,Prlhr,ENSRNOT00000124456,ENSRNOT00000124456.1,ENSRNOP00000108061,ENSRNOP00000108061.1,,rat
ENSRNOG00000009922,Prlhr,ENSRNOT00000165422,ENSRNOT00000165422.1,ENSRNOP00000109587,ENSRNOP00000109587.1,1.0,rat
ENSRNOG00000009922,Prlhr,ENSRNOT00000172893,ENSRNOT00000172893.1,ENSRNOP00000098771,ENSRNOP00000098771.1,,rat
ENSRNOG00000009922,Prlhr,ENSRNOT00000013170,ENSRNOT00000013170.6,ENSRNOP00000013170,ENSRNOP00000013170.3,,rat
ENSRNOG00000009954,Cacul1,ENSRNOT00000084760,ENSRNOT00000084760.3,ENSRNOP00000072029,ENSRNOP00000072029.1,1.0,rat
ENSRNOG00000009954,Cacul1,ENSRNOT00000050617,ENSRNOT00000050617.5,ENSRNOP00000051311,ENSRNOP00000051311.2,,rat
ENSRNOG00000009954,Cacul1,ENSRNOT00000126618,ENSRNOT00000126618.1,ENSRNOP00000102885,ENSRNOP00000102885.1,,rat
ENSRNOG00000009954,Cacul1,ENSRNOT00000109460,ENSRNOT00000109460.2,ENSRNOP00000089369,ENSRNOP00000089369.1,,rat
ENSRNOG00000082455,Nanos1,ENSRNOT00000161988,ENSRNOT00000161988.1,ENSRNOP00000106076,ENSRNOP00000106076.1,1.0,rat
ENSMFAG00000052166,,ENSMFAT00000080252,ENSMFAT00000080252.1,ENSMFAP00000054025,ENSMFAP00000054025.1,1.0,macaque
ENSMFAG00000051495,,ENSMFAT00000101504,ENSMFAT00000101504.1,ENSMFAP00000050871,ENSMFAP00000050871.1,1.0,macaque
ENSMFAG00000026972,,ENSMFAT00000060961,ENSMFAT00000060961.2,ENSMFAP00000012911,ENSMFAP00000012911.2,1.0,macaque
ENSMFAG00000053016,,ENSMFAT00000081692,ENSMFAT00000081692.1,ENSMFAP00000047874,ENSMFAP00000047874.1,1.0,macaque
ENSMFAG00000044637,PGBD2,ENSMFAT00000073402,ENSMFAT00000073402.1,ENSMFAP00000062168,ENSMFAP00000062168.1,1.0,macaque
ENSMFAG00000044637,PGBD2,ENSMFAT00000000550,ENSMFAT00000000550.2,ENSMFAP00000026369,ENSMFAP00000026369.2,,macaque
ENSMFAG00000032500,TCEANC2,ENSMFAT00000069471,ENSMFAT00000069471.2,ENSMFAP00000018924,ENSMFAP00000018924.2,1.0,macaque
ENSMFAG00000000628,MEX3A,ENSMFAT00000020154,ENSMFAT00000020154.2,ENSMFAP00000045849,ENSMFAP00000045849.2,1.0,macaque
ENSMFAG00000000115,RAB25,ENSMFAT00000075118,ENSMFAT00000075118.1,ENSMFAP00000052016,ENSMFAP00000052016.1,1.0,macaque
ENSMFAG00000000115,RAB25,ENSMFAT00000027473,ENSMFAT00000027473.2,ENSMFAP00000002328,ENSMFAP00000002328.1,,macaque
ENSMFAG00000065130,,ENSMFAT00000088242,ENSMFAT00000088242.1,ENSMFAP00000059235,ENSMFAP00000059235.1,1.0,macaque
ENSMFAG00000017869,,ENSMFAT00000051524,ENSMFAT00000051524.2,ENSMFAP00000011701,ENSMFAP00000011701.2,1.0,macaque
ENSMFAG00000039587,ACTRT3,ENSMFAT00000018776,ENSMFAT00000018776.2,ENSMFAP00000044482,ENSMFAP00000044482.1,1.0,macaque
ENSMFAG00000029324,AK4,ENSMFAT00000063593,ENSMFAT00000063593.2,ENSMFAP00000013581,ENSMFAP00000013581.1,,macaque
ENSMFAG00000036171,,ENSMFAT00000096951,ENSMFAT00000096951.1,ENSMFAP00000051298,ENSMFAP00000051298.1,,macaque
ENSMFAG00000040959,GJA8,ENSMFAT00000028456,ENSMFAT00000028456.2,ENSMFAP00000000290,ENSMFAP00000000290.2,1.0,macaque
ENSMFAG00000036171,,ENSMFAT00000025777,ENSMFAT00000025777.2,ENSMFAP00000048707,ENSMFAP00000048707.1,,macaque
ENSMFAG00000029324,AK4,ENSMFAT00000085399,ENSMFAT00000085399.1,ENSMFAP00000056349,ENSMFAP00000056349.1,1.0,macaque
ENSMFAG00000029324,AK4,ENSMFAT00000091545,ENSMFAT00000091545.1,ENSMFAP00000057184,ENSMFAP00000057184.1,,macaque
ENSMFAG00000036171,,ENSMFAT00000017266,ENSMFAT00000017266.2,ENSMFAP00000042979,ENSMFAP00000042979.2,1.0,macaque
ENSMFAG00000036171,,ENSMFAT00000017271,ENSMFAT00000017271.2,ENSMFAP00000042984,ENSMFAP00000042984.2,,macaque
ENSMFAG00000041380,KLF17,ENSMFAT00000015525,ENSMFAT00000015525.2,ENSMFAP00000041249,ENSMFAP00000041249.2,1.0,macaque
ENSMFAG00000033997,LAMC1,ENSMFAT00000005360,ENSMFAT00000005360.2,ENSMFAP00000031146,ENSMFAP00000031146.2,1.0,macaque
ENSMFAG00000054875,CTTNBP2NL,ENSMFAT00000078723,ENSMFAT00000078723.1,ENSMFAP00000060885,ENSMFAP00000060885.1,,macaque
ENSMFAG00000038045,ABHD10,ENSMFAT00000011868,ENSMFAT00000011868.2,ENSMFAP00000037617,ENSMFAP00000037617.2,1.0,macaque
ENSMFAG00000054875,CTTNBP2NL,ENSMFAT00000091343,ENSMFAT00000091343.1,ENSMFAP00000051139,ENSMFAP00000051139.1,1.0,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000023746,ENSMFAT00000023746.2,ENSMFAP00000005075,ENSMFAP00000005075.1,,macaque
ENSMFAG00000039056,ZNF692,ENSMFAT00000027244,ENSMFAT00000027244.2,ENSMFAP00000002102,ENSMFAP00000002102.1,,macaque
ENSMFAG00000018627,GJA5,ENSMFAT00000052271,ENSMFAT00000052271.2,ENSMFAP00000011785,ENSMFAP00000011785.1,1.0,macaque
ENSMFAG00000034575,MYNN,ENSMFAT00000090998,ENSMFAT00000090998.1,ENSMFAP00000058159,ENSMFAP00000058159.1,1.0,macaque
ENSMFAG00000001270,WARS2,ENSMFAT00000074150,ENSMFAT00000074150.1,ENSMFAP00000060086,ENSMFAP00000060086.1,,macaque
ENSMFAG00000038045,ABHD10,ENSMFAT00000011878,ENSMFAT00000011878.2,ENSMFAP00000037627,ENSMFAP00000037627.2,,macaque
ENSMFAG00000001270,WARS2,ENSMFAT00000021612,ENSMFAT00000021612.2,ENSMFAP00000008449,ENSMFAP00000008449.2,1.0,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000098820,ENSMFAT00000098820.1,ENSMFAP00000057125,ENSMFAP00000057125.1,,macaque
ENSMFAG00000039056,ZNF692,ENSMFAT00000027236,ENSMFAT00000027236.2,ENSMFAP00000002094,ENSMFAP00000002094.2,1.0,macaque
ENSMFAG00000054875,CTTNBP2NL,ENSMFAT00000097596,ENSMFAT00000097596.1,ENSMFAP00000051415,ENSMFAP00000051415.1,,macaque
ENSMFAG00000036601,RCC2,ENSMFAT00000025449,ENSMFAT00000025449.2,ENSMFAP00000006762,ENSMFAP00000006762.2,1.0,macaque
ENSMFAG00000022133,PPP2R3A,ENSMFAT00000056330,ENSMFAT00000056330.2,ENSMFAP00000012206,ENSMFAP00000012206.2,1.0,macaque
ENSMFAG00000034575,MYNN,ENSMFAT00000010723,ENSMFAT00000010723.2,ENSMFAP00000036477,ENSMFAP00000036477.2,,macaque
ENSMFAG00000001270,WARS2,ENSMFAT00000100401,ENSMFAT00000100401.1,ENSMFAP00000047033,ENSMFAP00000047033.1,,macaque
ENSMFAG00000001270,WARS2,ENSMFAT00000079530,ENSMFAT00000079530.1,ENSMFAP00000060702,ENSMFAP00000060702.1,,macaque
ENSMFAG00000022133,PPP2R3A,ENSMFAT00000056150,ENSMFAT00000056150.2,ENSMFAP00000012188,ENSMFAP00000012188.2,,macaque
ENSMFAG00000034575,MYNN,ENSMFAT00000010718,ENSMFAT00000010718.2,ENSMFAP00000036472,ENSMFAP00000036472.2,,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000023756,ENSMFAT00000023756.2,ENSMFAP00000005085,ENSMFAP00000005085.2,1.0,macaque
ENSMFAG00000036601,RCC2,ENSMFAT00000073881,ENSMFAT00000073881.1,ENSMFAP00000053937,ENSMFAP00000053937.1,,macaque
ENSMFAG00000034575,MYNN,ENSMFAT00000010730,ENSMFAT00000010730.2,ENSMFAP00000036484,ENSMFAP00000036484.2,,macaque
ENSMFAG00000022133,PPP2R3A,ENSMFAT00000056397,ENSMFAT00000056397.2,ENSMFAP00000012217,ENSMFAP00000012217.1,,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000023763,ENSMFAT00000023763.2,ENSMFAP00000005093,ENSMFAP00000005093.2,,macaque
ENSCAFG00845000002,PHLPP1,ENSCAFT00845000002,ENSCAFT00845000002.1,ENSCAFP00845000002,ENSCAFP00845000002.1,1.0,dog
ENSCAFG00845000002,PHLPP1,ENSCAFT00845000003,ENSCAFT00845000003.1,ENSCAFP00845000003,ENSCAFP00845000003.1,,dog
ENSCAFG00845000007,RMND1,ENSCAFT00845000009,ENSCAFT00845000009.1,ENSCAFP00845000004,ENSCAFP00845000004.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000010,ENSCAFT00845000010.1,ENSCAFP00845000005,ENSCAFP00845000005.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000011,ENSCAFT00845000011.1,ENSCAFP00845000006,ENSCAFP00845000006.1,,dog
ENSCAFG00845000009,CLVS2,ENSCAFT00845000012,ENSCAFT00845000012.1,ENSCAFP00845000007,ENSCAFP00845000007.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000016,ENSCAFT00845000016.1,ENSCAFP00845000008,ENSCAFP00845000008.1,,dog
ENSCAFG00845000014,ARMT1,ENSCAFT00845000019,ENSCAFT00845000019.1,ENSCAFP00845000009,ENSCAFP00845000009.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000020,ENSCAFT00845000020.1,ENSCAFP00845000010,ENSCAFP00845000010.1,,dog
