ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_RATNO	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_RATNO
ENSMUSG00000046561	OG_12953	HQ_11189	Arsj	MOUSE	5	1to1	1to1	ENSRNOG00000000001	HQ_11189	Arsj	RATNO	5	1to1	1to1	95.9866	96.1474	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000070880	OG_06827	HQ_05257	Gad1	MOUSE	5	1to1	1to1	ENSRNOG00000000007	HQ_05257	Gad1	RATNO	5	1to1	1to1	95.2782	93.3884	100.0	100.0	1.0	0.75	0.75	1	1
ENSMUSG00000040310	OG_02720	HQ_01159	Alx4	MOUSE	5	1to1	1to1	ENSRNOG00000000008	HQ_01159	Alx4	RATNO	5	1to1	1to1	98.2456	98.2456	100.0	100.0	1.0	0.6	0.6	1	1
ENSMUSG00000041255	OG_18266	HQ_18902	Tmco5b	MOUSE	3	1to1	1to1	ENSRNOG00000000009	HQ_18902	Tmco5b	RATNO	3	1to1	1to1	95.4397	95.4397	100.0	100.0	1.0	0.6	0.3333333333333333	1	1
ENSMUSG00000031654	OG_04293	HQ_02746	Cbln1	MOUSE	5	1to1	1to1	ENSRNOG00000000010	HQ_02746	Cbln1	RATNO	5	1to1	1to1	99.4819	99.4819	100.0	100.0	1.0	0.625	0.625	1	1
ENSMUSG00000068079	OG_06605	HQ_05043	Tcf15	MOUSE	5	1to1	1to1	ENSRNOG00000000012	HQ_05043	Tcf15	RATNO	5	1to1	1to1	99.4872	99.4872	100.0	100.0	1.0	0.75	0.5555555555555556	1	1
ENSMUSG00000015652	OG_01284	HQ_00322	Steap1	MOUSE	5	multi_copy	multi_copy	ENSRNOG00000000017	HQ_00322	Steap1	RATNO	5	multi_copy	multi_copy	91.4454	91.4454	100.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000030019	OG_01807	HQ_14999	Fbxl14	MOUSE	4	multi_copy	1to1	ENSRNOG00000000021	HQ_SNG_011508	AABR07061902.1	RATNO	4	multi_copy	singleton	78.0	90.4348	0.0	0.0	0.0	0.16666666666666666	0.0	2	1
ENSMUSG00000042770	OG_02418	HQ_00861	Hebp1	MOUSE	5	1to1	1to1	ENSRNOG00000000024	HQ_00861	Hebp1	RATNO	5	1to1	1to1	97.8947	97.8947	100.0	100.0	1.0	1.0	1.0	1	1
ENSMUSG00000042066	OG_07285	HQ_05697	Tmcc2	MOUSE	5	1to1	1to1	ENSRNOG00000000033	HQ_05697	Tmcc2	RATNO	5	1to1	1to1	98.5836	98.5836	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000009772	OG_10552	HQ_08876	Nuak2	MOUSE	5	1to1	1to1	ENSRNOG00000000034	HQ_08876	Nuak2	RATNO	5	1to1	1to1	94.0532	94.2006	100.0	100.0	1.0	1.0	1.0	1	1
ENSMUSG00000004821	OG_18189	HQ_18693	Tmed11	MOUSE	3	1to1	1to1	ENSRNOG00000000035	HQ_18693	Tmed11	RATNO	3	1to1	1to1	95.3488	95.7944	75.0	100.0	1.0	0.75	0.3333333333333333	1	1
ENSMUSG00000042115	OG_10410	HQ_08738	Klhdc8a	MOUSE	5	1to1	1to1	ENSRNOG00000000036	HQ_08738	Klhdc8a	RATNO	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.8	0.8	1	1
ENSMUSG00000033722	OG_07624	HQ_06040	BC034090	MOUSE	5	1to1	1to1	ENSRNOG00000000040	HQ_06040	RGD1304622	RATNO	5	1to1	1to1	82.9451	83.2916	100.0	100.0	1.0	0.6	0.6	1	1
ENSMUSG00000046959	OG_16007	HQ_14387	Slc26a1	MOUSE	4	1to1	1to1	ENSRNOG00000000041	HQ_14387	Slc26a1	RATNO	4	1to1	1to1	94.3056	94.4367	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
