ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_MACFA
ENSMUSG00000036223	OG_09643	HQ_08028	Ska1	MOUSE	5	1to1	1to1	ENSMFAG00000000025	HQ_08028	SKA1	MACFA	5	1to1	1to1	74.0157	73.7255	100.0	0.0	1.0	0.42857142857142855	0.25	1	1
ENSMUSG00000075478	OG_12724	HQ_10982	Slitrk1	MOUSE	5	1to1	1to1	ENSMFAG00000000028	HQ_10982	SLITRK1	MACFA	5	1to1	1to1	92.9598	97.5867	100.0	0.0	1.0	0.26666666666666666	0.26666666666666666	1	1
ENSMUSG00000046204	OG_14916	HQ_13004	Pnma2	MOUSE	5	1to1	1to1	ENSMFAG00000000029	HQ_13004	PNMA2	MACFA	5	1to1	1to1	78.3562	78.5714	100.0	100.0	1.0	1.0	1.0	1	1
ENSMUSG00000017311	OG_01459	HQ_16392	Pyy	MOUSE	5	multi_copy	1to1	ENSMFAG00000000034	HQ_SNG_001564		MACFA	5	multi_copy	singleton	73.0	28.7402	100.0	0.0	0.0	0.5	0.36363636363636365	1	1
ENSMUSG00000000792	OG_04604	HQ_03046	Slc5a5	MOUSE	5	1to1	1to1	ENSMFAG00000000036	HQ_03046	SLC5A5	MACFA	5	1to1	1to1	83.4951	80.2488	75.0	0.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSMUSG00000059923	OG_12690	HQ_10948	Grb2	MOUSE	5	1to1	1to1	ENSMFAG00000000037	HQ_10948	GRB2	MACFA	5	1to1	1to1	99.5392	98.6301	100.0	0.0	1.0	0.6	0.6	1	1
ENSMUSG00000036499	OG_04228	HQ_02678	Eea1	MOUSE	5	1to1	1to1	ENSMFAG00000000038	HQ_02678	EEA1	MACFA	5	1to1	1to1	85.9674	83.4825	50.0	54.23	0.0	0.2727272727272727	0.2727272727272727	1	1
ENSMUSG00000020644	OG_05658	HQ_13833	Id2	MOUSE	5	1to1	1to1	ENSMFAG00000000039	HQ_13833	ID2	MACFA	5	1to1	1to1	75.4839	57.6355	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000014852	OG_10137	HQ_08497	Adamts13	MOUSE	5	1to1	1to1	ENSMFAG00000000040	HQ_08497	ADAMTS13	MACFA	5	1to1	1to1	65.0771	71.7156	100.0	0.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSMUSG00000046321	OG_06244	HQ_04693	Hs3st2	MOUSE	5	1to1	1to1	ENSMFAG00000000041	HQ_04693	HS3ST2	MACFA	5	1to1	1to1	95.9128	95.9128	100.0	0.08	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSMUSG00000063334	OG_05208	HQ_03661	Krr1	MOUSE	5	1to1	1to1	ENSMFAG00000000042	HQ_03661	KRR1	MACFA	5	1to1	1to1	90.5263	90.2887	25.0	0.0	0.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000027709	OG_03296	HQ_01735	Mccc1	MOUSE	5	1to1	1to1	ENSMFAG00000000043	HQ_01735	MCCC1	MACFA	5	1to1	1to1	82.5662	72.9064	50.0	0.0	0.0	0.125	0.125	1	1
