ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_PIGXX
ENSMUSG00000022385	OG_03194	HQ_01632	Gtse1	MOUSE	5	1to1	1to1	ENSSSCG00000000002	HQ_01632	GTSE1	PIGXX	5	1to1	1to1	45.614	50.4478	100.0	96.0	0.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000035944	OG_03196	HQ_01634	Ttc38	MOUSE	5	1to1	1to1	ENSSSCG00000000003	HQ_01634	TTC38	PIGXX	5	1to1	1to1	85.1613	80.8163	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000064284	OG_16988	HQ_15766	Cdpf1	MOUSE	4	1to1	1to1	ENSSSCG00000000005	HQ_15766	CDPF1	PIGXX	4	1to1	1to1	71.4286	69.1057	100.0	0.0	1.0	0.375	0.375	1	1
ENSMUSG00000022383	OG_13634	HQ_11830	Ppara	MOUSE	5	1to1	1to1	ENSSSCG00000000006	HQ_11830	PPARA	PIGXX	5	1to1	1to1	90.812	91.0064	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000022386	OG_03973	HQ_02413	Trmu	MOUSE	5	1to1	1to1	ENSSSCG00000000007	HQ_02413	TRMU	PIGXX	5	1to1	1to1	86.8106	85.9857	100.0	0.0	1.0	0.8	0.8	1	1
ENSMUSG00000006369	OG_03289	HQ_01729	Fbln1	MOUSE	5	1to1	1to1	ENSSSCG00000000010	HQ_01729	FBLN1	PIGXX	5	1to1	1to1	83.5461	71.917	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000022434	OG_03964	HQ_02403	Fam118a	MOUSE	5	1to1	1to1	ENSSSCG00000000014	HQ_02403	FAM118A	PIGXX	5	1to1	1to1	92.7171	92.7171	100.0	0.0	1.0	0.625	0.625	1	1
ENSMUSG00000036046	OG_03960	HQ_02399	5031439G07Rik	MOUSE	5	1to1	1to1	ENSSSCG00000000018	HQ_02399	KIAA0930	PIGXX	5	1to1	1to1	93.736	91.886	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000016619	OG_00777	HQ_02190	Nup50	MOUSE	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	69.9571	74.0909	100.0	21.71	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000072878	OG_00777	HQ_19321	1700123L14Rik	MOUSE	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	50.4545	50.4545	0.0	0.0	0.0	0.1	0.0	1	2
ENSMUSG00000016624	OG_02769	HQ_01207	Phf21b	MOUSE	5	1to1	1to1	ENSSSCG00000000020	HQ_01207	PHF21B	PIGXX	5	1to1	1to1	87.885	87.5256	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000078954	OG_14928	HQ_13016	Arhgap8	MOUSE	5	1to1	1to1	ENSSSCG00000000021	HQ_13016	ARHGAP8	PIGXX	5	1to1	1to1	75.2941	65.8436	100.0	13.7	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000055745	OG_13801	HQ_11985	Rtl6	MOUSE	5	1to1	1to1	ENSSSCG00000000022	HQ_11985	RTL6	PIGXX	5	1to1	1to1	90.1235	91.6318	100.0	68.73	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000022438	OG_13807	HQ_11992	Parvb	MOUSE	5	1to1	1to1	ENSSSCG00000000024	HQ_11992	PARVB	PIGXX	5	1to1	1to1	81.3699	80.2703	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000022439	OG_08087	HQ_06496	Parvg	MOUSE	5	1to1	1to1	ENSSSCG00000000025	HQ_06496	PARVG	PIGXX	5	1to1	1to1	66.6667	77.3414	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000018865	OG_06979	HQ_14079	Sult4a1	MOUSE	5	1to1	1to1	ENSSSCG00000000026	HQ_14079	SULT4A1	PIGXX	5	1to1	1to1	80.9859	88.4615	100.0	0.0	1.0	0.5	0.36363636363636365	1	1
ENSMUSG00000022441	OG_13637	HQ_15480	Efcab6	MOUSE	5	1to1	1to1	ENSSSCG00000000028	HQ_SNG_017071		PIGXX	5	1to1	singleton	12.5989	67.9715	100.0	0.0	0.0	0.4	0.2727272727272727	1	1
ENSMUSG00000016763	OG_10041	HQ_08411	Scube1	MOUSE	5	1to1	1to1	ENSSSCG00000000029	HQ_08411	SCUBE1	PIGXX	5	1to1	1to1	88.5069	91.2867	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000048755	OG_03933	HQ_02373	Mcat	MOUSE	5	1to1	1to1	ENSSSCG00000000031	HQ_02373	MCAT	PIGXX	5	1to1	1to1	75.5906	59.6273	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000041736	OG_03938	HQ_02377	Tspo	MOUSE	5	1to1	1to1	ENSSSCG00000000033	HQ_02377	TSPO	PIGXX	5	1to1	1to1	77.5148	77.5148	100.0	98.39	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000016757	OG_03939	HQ_02378	Ttll12	MOUSE	5	1to1	1to1	ENSSSCG00000000034	HQ_02378	TTLL12	PIGXX	5	1to1	1to1	78.5602	86.5517	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000022442	OG_03926	HQ_02366	Ttll1	MOUSE	5	1to1	1to1	ENSSSCG00000000035	HQ_02366	TTLL1	PIGXX	5	1to1	1to1	88.6525	83.8926	100.0	96.76	1.0	0.6	0.6	1	1
ENSMUSG00000016664	OG_03925	HQ_02365	Pacsin2	MOUSE	5	1to1	1to1	ENSSSCG00000000036	HQ_02365	PACSIN2	PIGXX	5	1to1	1to1	89.7119	81.0409	100.0	0.0	1.0	0.5	0.5	1	1
