ensembl_id_RATNO	ens_orthogroup_id	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_RATNO	ortholog_rank_PIGXX
ENSRNOG00000016148	OG_03194	HQ_01632	Gtse1	RATNO	5	1to1	1to1	ENSSSCG00000000002	HQ_01632	GTSE1	PIGXX	5	1to1	1to1	51.194	45.7944	100.0	95.75	0.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000015916	OG_03196	HQ_01634	Ttc38	RATNO	5	1to1	1to1	ENSSSCG00000000003	HQ_01634	TTC38	PIGXX	5	1to1	1to1	81.6327	78.125	100.0	0.0	1.0	0.5	0.5	1	1
ENSRNOG00000021463	OG_13634	HQ_11830	Ppara	RATNO	5	1to1	1to1	ENSSSCG00000000006	HQ_11830	PPARA	PIGXX	5	1to1	1to1	90.7923	90.5983	100.0	0.0	1.0	0.625	0.625	1	1
ENSRNOG00000016465	OG_03973	HQ_02413	Trmu	RATNO	5	1to1	1to1	ENSSSCG00000000007	HQ_02413	TRMU	PIGXX	5	1to1	1to1	86.4608	82.5397	100.0	0.0	1.0	0.5	0.5	1	1
ENSRNOG00000014137	OG_03289	HQ_01729	Fbln1	RATNO	5	1to1	1to1	ENSSSCG00000000010	HQ_01729	FBLN1	PIGXX	5	1to1	1to1	67.6435	79.7122	100.0	99.69	1.0	0.375	0.375	1	1
ENSRNOG00000013764	OG_03964	HQ_02403	Fam118a	RATNO	5	1to1	1to1	ENSSSCG00000000014	HQ_02403	FAM118A	PIGXX	5	1to1	1to1	92.437	90.6593	100.0	0.0	1.0	0.75	0.75	1	1
ENSRNOG00000031269	OG_03960	HQ_02399	RGD1304694	RATNO	5	1to1	1to1	ENSSSCG00000000018	HQ_02399	KIAA0930	PIGXX	5	1to1	1to1	91.4474	93.2886	100.0	0.0	1.0	0.75	0.75	1	1
ENSRNOG00000013423	OG_00777	HQ_02190	Nup50	RATNO	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	70.6818	66.453	100.0	20.24	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000024560	OG_00777	HQ_19321	1700123L14Rik	RATNO	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	52.2727	52.7523	0.0	0.0	0.0	0.09090909090909091	0.0	1	2
ENSRNOG00000013067	OG_02769	HQ_01207	Phf21b	RATNO	5	1to1	1to1	ENSSSCG00000000020	HQ_01207	PHF21B	PIGXX	5	1to1	1to1	87.7301	86.8421	100.0	0.0	1.0	0.6	0.6	1	1
ENSRNOG00000033570	OG_14928	HQ_13016	Arhgap8	RATNO	5	1to1	1to1	ENSSSCG00000000021	HQ_13016	ARHGAP8	PIGXX	5	1to1	1to1	65.6379	75.0588	100.0	12.86	1.0	0.6	0.6	1	1
ENSRNOG00000064516	OG_13801	HQ_11985	Rtl6	RATNO	5	1to1	1to1	ENSSSCG00000000022	HQ_11985	RTL6	PIGXX	5	1to1	1to1	92.4686	90.9465	100.0	68.58	1.0	0.7777777777777778	0.7777777777777778	1	1
ENSRNOG00000055305	OG_13807	HQ_11992	Parvb	RATNO	5	1to1	1to1	ENSSSCG00000000024	HQ_11992	PARVB	PIGXX	5	1to1	1to1	79.7297	75.0636	100.0	100.0	1.0	0.8	0.8	1	1
ENSRNOG00000052064	OG_08087	HQ_06496	Parvg	RATNO	5	1to1	1to1	ENSSSCG00000000025	HQ_06496	PARVG	PIGXX	5	1to1	1to1	75.8308	72.5434	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000046975	OG_06979	HQ_14079	Sult4a1	RATNO	5	1to1	1to1	ENSSSCG00000000026	HQ_14079	SULT4A1	PIGXX	5	1to1	1to1	88.4615	80.9859	100.0	0.0	1.0	0.6666666666666666	0.5	1	1
ENSRNOG00000011094	OG_13637	HQ_15480	Efcab6	RATNO	5	1to1	1to1	ENSSSCG00000000028	HQ_SNG_017071		PIGXX	5	1to1	singleton	67.9715	13.0643	100.0	0.0	0.0	0.5	0.36363636363636365	1	1
