ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_PIGXX
ENSG00000075218	OG_03194	HQ_01632	GTSE1	HUMAN	5	1to1	1to1	ENSSSCG00000000002	HQ_01632	GTSE1	PIGXX	5	1to1	1to1	51.8268	57.1642	100.0	98.61	1.0	0.5	0.5	1	1
ENSG00000075234	OG_03196	HQ_01634	TTC38	HUMAN	5	1to1	1to1	ENSSSCG00000000003	HQ_01634	TTC38	PIGXX	5	1to1	1to1	88.6994	84.898	100.0	99.58	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000205643	OG_16988	HQ_15766	CDPF1	HUMAN	4	1to1	1to1	ENSSSCG00000000005	HQ_15766	CDPF1	PIGXX	4	1to1	1to1	75.6098	75.6098	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000186951	OG_13634	HQ_11830	PPARA	HUMAN	5	1to1	1to1	ENSSSCG00000000006	HQ_11830	PPARA	PIGXX	5	1to1	1to1	94.2308	94.4325	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000100416	OG_03973	HQ_02413	TRMU	HUMAN	5	1to1	1to1	ENSSSCG00000000007	HQ_02413	TRMU	PIGXX	5	1to1	1to1	88.361	88.361	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000077942	OG_03289	HQ_01729	FBLN1	HUMAN	5	1to1	1to1	ENSSSCG00000000010	HQ_01729	FBLN1	PIGXX	5	1to1	1to1	85.9175	73.7485	100.0	100.0	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSG00000100376	OG_03964	HQ_02403	FAM118A	HUMAN	5	1to1	1to1	ENSSSCG00000000014	HQ_02403	FAM118A	PIGXX	5	1to1	1to1	91.0364	91.0364	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000100364	OG_03960	HQ_02399	KIAA0930	HUMAN	5	1to1	1to1	ENSSSCG00000000018	HQ_02399	KIAA0930	PIGXX	5	1to1	1to1	96.0396	85.0877	100.0	98.99	1.0	0.5	0.5	1	1
ENSG00000093000	OG_00777	HQ_02190	NUP50	HUMAN	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	77.7778	82.7273	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000056487	OG_02769	HQ_01207	PHF21B	HUMAN	5	1to1	1to1	ENSSSCG00000000020	HQ_01207	PHF21B	PIGXX	5	1to1	1to1	86.064	93.456	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000241484	OG_14928	HQ_13016	ARHGAP8	HUMAN	5	1to1	1to1	ENSSSCG00000000021	HQ_13016	ARHGAP8	PIGXX	5	1to1	1to1	81.5242	72.6337	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000188636	OG_13801	HQ_11985	RTL6	HUMAN	5	1to1	1to1	ENSSSCG00000000022	HQ_11985	RTL6	PIGXX	5	1to1	1to1	93.7238	93.7238	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000188677	OG_13807	HQ_11992	PARVB	HUMAN	5	1to1	1to1	ENSSSCG00000000024	HQ_11992	PARVB	PIGXX	5	1to1	1to1	82.4176	81.0811	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000138964	OG_08087	HQ_06496	PARVG	HUMAN	5	1to1	1to1	ENSSSCG00000000025	HQ_06496	PARVG	PIGXX	5	1to1	1to1	83.6858	83.6858	100.0	99.4	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000130540	OG_06979	HQ_14079	SULT4A1	HUMAN	5	1to1	1to1	ENSSSCG00000000026	HQ_14079	SULT4A1	PIGXX	5	1to1	1to1	81.6901	89.2308	100.0	100.0	1.0	0.3333333333333333	0.2	1	1
ENSG00000186976	OG_13637	HQ_15480	EFCAB6	HUMAN	5	1to1	1to1	ENSSSCG00000000028	HQ_SNG_017071		PIGXX	5	1to1	singleton	13.5909	72.5979	100.0	65.02	0.0	0.3	0.18181818181818182	1	1
ENSG00000159307	OG_10041	HQ_08411	SCUBE1	HUMAN	5	1to1	1to1	ENSSSCG00000000029	HQ_08411	SCUBE1	PIGXX	5	1to1	1to1	92.8138	92.9078	100.0	100.0	1.0	0.5555555555555556	0.4	1	1
ENSG00000100294	OG_03933	HQ_02373	MCAT	HUMAN	5	1to1	1to1	ENSSSCG00000000031	HQ_02373	MCAT	PIGXX	5	1to1	1to1	77.9487	62.94	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000100300	OG_03938	HQ_02377	TSPO	HUMAN	5	1to1	1to1	ENSSSCG00000000033	HQ_02377	TSPO	PIGXX	5	1to1	1to1	82.8402	82.8402	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000100304	OG_03939	HQ_02378	TTLL12	HUMAN	5	1to1	1to1	ENSSSCG00000000034	HQ_02378	TTLL12	PIGXX	5	1to1	1to1	79.0373	87.7586	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
