ensembl_gene_id,ensembl_transcript_id,ensembl_transcript_id_version,transcript_is_canonical,species
ENSMFAG00000000070,ENSMFAT00000028804,ENSMFAT00000028804.2,NA,macaque
ENSMFAG00000000070,ENSMFAT00000091106,ENSMFAT00000091106.1,NA,macaque
ENSMFAG00000000070,ENSMFAT00000028816,ENSMFAT00000028816.2,1,macaque
ENSMFAG00000000070,ENSMFAT00000028810,ENSMFAT00000028810.2,NA,macaque
ENSMFAG00000000070,ENSMFAT00000028800,ENSMFAT00000028800.2,NA,macaque
ENSMFAG00000000070,ENSMFAT00000028814,ENSMFAT00000028814.2,NA,macaque
ENSMFAG00000000070,ENSMFAT00000085487,ENSMFAT00000085487.1,NA,macaque
ENSMFAG00000000070,ENSMFAT00000101901,ENSMFAT00000101901.1,NA,macaque
ENSMFAG00000000070,ENSMFAT00000091346,ENSMFAT00000091346.1,NA,macaque
ENSMFAG00000000049,ENSMFAT00000094074,ENSMFAT00000094074.1,NA,macaque
ENSMFAG00000000049,ENSMFAT00000029474,ENSMFAT00000029474.2,1,macaque
ENSMFAG00000000049,ENSMFAT00000029476,ENSMFAT00000029476.2,NA,macaque
ENSMFAG00000000043,ENSMFAT00000032835,ENSMFAT00000032835.2,NA,macaque
ENSMFAG00000000043,ENSMFAT00000029644,ENSMFAT00000029644.2,1,macaque
ENSMFAG00000000043,ENSMFAT00000029645,ENSMFAT00000029645.2,NA,macaque
ENSMFAG00000000043,ENSMFAT00000029646,ENSMFAT00000029646.2,NA,macaque
ENSMFAG00000000043,ENSMFAT00000029643,ENSMFAT00000029643.2,NA,macaque
ENSMFAG00000000074,ENSMFAT00000028723,ENSMFAT00000028723.2,1,macaque
ENSMFAG00000000074,ENSMFAT00000028741,ENSMFAT00000028741.2,NA,macaque
ENSMFAG00000000074,ENSMFAT00000028753,ENSMFAT00000028753.2,NA,macaque
ENSMFAG00000000076,ENSMFAT00000028635,ENSMFAT00000028635.2,1,macaque
ENSMFAG00000000045,ENSMFAT00000029572,ENSMFAT00000029572.2,1,macaque
ENSMFAG00000000068,ENSMFAT00000028865,ENSMFAT00000028865.2,1,macaque
ENSMFAG00000000048,ENSMFAT00000029522,ENSMFAT00000029522.2,1,macaque
