ensembl_id	species	gene_symbol	ens_orthogroup_id	ens_hqorthogroup_id	species_code
ENSMFAG00000000025	macaque	SKA1	OG_09643	HQ_08028	MACFA
ENSMFAG00000000028	macaque	SLITRK1	OG_12724	HQ_10982	MACFA
ENSMFAG00000000029	macaque	PNMA2	OG_14916	HQ_13004	MACFA
ENSMFAG00000000034	macaque		OG_01459	HQ_SNG_001564	MACFA
ENSMFAG00000000036	macaque	SLC5A5	OG_04604	HQ_03046	MACFA
ENSMFAG00000000037	macaque	GRB2	OG_12690	HQ_10948	MACFA
ENSMFAG00000000038	macaque	EEA1	OG_04228	HQ_02678	MACFA
ENSMFAG00000000039	macaque	ID2	OG_05658	HQ_13833	MACFA
ENSMFAG00000000040	macaque	ADAMTS13	OG_10137	HQ_08497	MACFA
ENSMFAG00000000041	macaque	HS3ST2	OG_06244	HQ_04693	MACFA
ENSMFAG00000000042	macaque	KRR1	OG_05208	HQ_03661	MACFA
ENSMFAG00000000043	macaque	MCCC1	OG_03296	HQ_01735	MACFA
ENSMFAG00000000044	macaque		OG_01224	HQ_02422	MACFA
ENSMFAG00000000045	macaque		OG_01342	HQ_00341	MACFA
ENSMFAG00000000046	macaque		OG_00052	HQ_SNG_001565	MACFA
ENSMFAG00000000048	macaque	MGAM	OG_15045	HQ_15988	MACFA
ENSMFAG00000000049	macaque	C1orf185	OG_14416	HQ_12566	MACFA
ENSMFAG00000000050	macaque		OG_09335	HQ_SNG_001566	MACFA
ENSMFAG00000000052	macaque		OG_00012	HQ_00405	MACFA
ENSMFAG00000000053	macaque	NAPA	OG_04570	HQ_03017	MACFA
ENSMFAG00000000055	macaque	AXIN2	OG_11540	HQ_09841	MACFA
ENSMFAG00000000058	macaque	IL23A	OG_05144	HQ_03600	MACFA
ENSMFAG00000000059	macaque	GEMIN8	OG_00751	HQ_01079	MACFA
ENSMFAG00000000061	macaque	ZNF527	OG_17867	HQ_16939	MACFA
ENSMFAG00000000062	macaque	TBC1D9B	OG_14079	HQ_12243	MACFA
ENSMFAG00000000063	macaque	RNASEH1	OG_12010	HQ_10294	MACFA
ENSMFAG00000000064	macaque	MCMBP	OG_14158	HQ_12318	MACFA
ENSMFAG00000000065	macaque	SLC38A5	OG_02446	HQ_00887	MACFA
ENSMFAG00000000066	macaque	GPBP1	OG_02835	HQ_01268	MACFA
ENSMFAG00000000067	macaque	TDP1	OG_02619	HQ_01059	MACFA
ENSMFAG00000000068	macaque	IL22RA1	OG_08481	HQ_06885	MACFA
ENSMFAG00000000070	macaque	POMGNT1	OG_03513	HQ_01951	MACFA
ENSMFAG00000000071	macaque		OG_01665	HQ_00430	MACFA
ENSMFAG00000000072	macaque	EDA2R	OG_15807	HQ_14099	MACFA
ENSMFAG00000000073	macaque	GNS	OG_07601	HQ_06013	MACFA
ENSMFAG00000000074	macaque	FYN	OG_02358	HQ_00802	MACFA
ENSMFAG00000000075	macaque	RNF25	OG_10529	HQ_08852	MACFA
ENSMFAG00000000076	macaque	CD247	OG_14322	HQ_12484	MACFA
ENSMFAG00000000077	macaque	TBC1D15	OG_06199	HQ_04648	MACFA
ENSMFAG00000000078	macaque	USP15	OG_07600	HQ_06012	MACFA
ENSMFAG00000000080	macaque	TLCD3A	OG_11375	HQ_09686	MACFA
ENSMFAG00000000081	macaque	PSMA5	OG_08516	HQ_06917	MACFA
ENSMFAG00000000082	macaque	ROBO2	OG_13397	HQ_11607	MACFA
ENSMFAG00000000084	macaque		OG_SNG_000948	HQ_SNG_001567	MACFA
ENSMFAG00000000085	macaque	IGFBP6	OG_11396	HQ_09705	MACFA
ENSMFAG00000000086	macaque	TDG	OG_08136	HQ_06545	MACFA
ENSMFAG00000000088	macaque	MED31	OG_04933	HQ_03378	MACFA
ENSMFAG00000000089	macaque	LCN10	OG_13729	HQ_11916	MACFA
ENSMFAG00000000090	macaque	CDA	OG_09992	HQ_08364	MACFA
ENSMFAG00000000091	macaque	SIAH3	OG_14764	HQ_12878	MACFA
ENSMFAG00000000092	macaque	DYNLT2	OG_00995	HQ_00243	MACFA
ENSMFAG00000000094	macaque	DYNC1I1	OG_09969	HQ_08341	MACFA
ENSMFAG00000000095	macaque	TRDN	OG_13576	HQ_11779	MACFA
ENSMFAG00000000096	macaque	SLIT2	OG_08787	HQ_07195	MACFA
ENSMFAG00000000097	macaque	ALB	OG_10572	HQ_08897	MACFA
ENSMFAG00000000099	macaque	HOXD9	OG_06830	HQ_05260	MACFA
ENSMFAG00000000102	macaque	LRIG2	OG_14317	HQ_12478	MACFA
ENSMFAG00000000103	macaque	CFAP126	OG_13851	HQ_12034	MACFA
ENSMFAG00000000105	macaque	SLC24A1	OG_03176	HQ_01611	MACFA
ENSMFAG00000000107	macaque	PSEN2	OG_08638	HQ_07043	MACFA
ENSMFAG00000000108	macaque	YY1	OG_04035	HQ_02483	MACFA
ENSMFAG00000000109	macaque	ATF1	OG_06336	HQ_04782	MACFA
ENSMFAG00000000110	macaque	PLEKHA7	OG_11201	HQ_09519	MACFA
ENSMFAG00000000111	macaque	CD200	OG_03719	HQ_02156	MACFA
ENSMFAG00000000112	macaque		OG_01053	HQ_SNG_001568	MACFA
ENSMFAG00000000113	macaque	PSEN1	OG_03375	HQ_01813	MACFA
ENSMFAG00000000114	macaque	SLFN13	OG_00909	HQ_00418	MACFA
ENSMFAG00000000115	macaque	RAB25	OG_07232	HQ_05647	MACFA
ENSMFAG00000000117	macaque	RAB44	OG_15028	HQ_13111	MACFA
ENSMFAG00000000118	macaque	FAM234B	OG_03470	HQ_01910	MACFA
ENSMFAG00000000120	macaque	BTBD10	OG_00902	HQ_07534	MACFA
ENSMFAG00000000121	macaque	KCNH1	OG_08589	HQ_06991	MACFA
