ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_MACFA
ENSG00000154839	OG_09643	HQ_08028	SKA1	HUMAN	5	1to1	1to1	ENSMFAG00000000025	HQ_08028	SKA1	MACFA	5	1to1	1to1	95.6863	95.6863	100.0	100.0	1.0	0.5	0.2857142857142857	1	1
ENSG00000178235	OG_12724	HQ_10982	SLITRK1	HUMAN	5	1to1	1to1	ENSMFAG00000000028	HQ_10982	SLITRK1	MACFA	5	1to1	1to1	94.9713	99.6983	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000240694	OG_14916	HQ_13004	PNMA2	HUMAN	5	1to1	1to1	ENSMFAG00000000029	HQ_13004	PNMA2	MACFA	5	1to1	1to1	97.2527	97.2527	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000131096	OG_01459	HQ_16392	PYY	HUMAN	5	multi_copy	1to1	ENSMFAG00000000034	HQ_SNG_001564		MACFA	5	multi_copy	singleton	90.7216	34.6457	100.0	100.0	0.0	0.5	0.3333333333333333	1	1
ENSG00000105641	OG_04604	HQ_03046	SLC5A5	HUMAN	5	1to1	1to1	ENSMFAG00000000036	HQ_03046	SLC5A5	MACFA	5	1to1	1to1	97.6672	97.6672	100.0	100.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSG00000177885	OG_12690	HQ_10948	GRB2	HUMAN	5	1to1	1to1	ENSMFAG00000000037	HQ_10948	GRB2	MACFA	5	1to1	1to1	100.0	99.0868	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000102189	OG_04228	HQ_02678	EEA1	HUMAN	5	1to1	1to1	ENSMFAG00000000038	HQ_02678	EEA1	MACFA	5	1to1	1to1	98.5117	95.6641	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000115738	OG_05658	HQ_13833	ID2	HUMAN	5	1to1	1to1	ENSMFAG00000000039	HQ_13833	ID2	MACFA	5	1to1	1to1	100.0	66.0098	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000160323	OG_10137	HQ_08497	ADAMTS13	HUMAN	5	1to1	1to1	ENSMFAG00000000040	HQ_08497	ADAMTS13	MACFA	5	1to1	1to1	89.3508	94.6677	100.0	100.0	1.0	0.3333333333333333	0.14285714285714285	1	1
ENSG00000122254	OG_06244	HQ_04693	HS3ST2	HUMAN	5	1to1	1to1	ENSMFAG00000000041	HQ_04693	HS3ST2	MACFA	5	1to1	1to1	99.7275	99.7275	50.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000111615	OG_05208	HQ_03661	KRR1	HUMAN	5	1to1	1to1	ENSMFAG00000000042	HQ_03661	KRR1	MACFA	5	1to1	1to1	98.6877	98.6877	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000078070	OG_03296	HQ_01735	MCCC1	HUMAN	5	1to1	1to1	ENSMFAG00000000043	HQ_01735	MCCC1	MACFA	5	1to1	1to1	93.3793	83.3744	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000100442	OG_01224	HQ_02422	FKBP3	HUMAN	5	multi_copy	1to1	ENSMFAG00000000044	HQ_02422		MACFA	5	multi_copy	1to1	0.0	0.0	0.0	0.0	0.0	0.25	0.25	1	1
ENSG00000114573	OG_01342	HQ_00341	ATP6V1A	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000045	HQ_00341		MACFA	5	multi_copy	multi_copy	99.6758	94.7612	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000126752	OG_00052	HQ_SNG_000074	SSX1	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.5	0.18181818181818182	1	1
ENSG00000165583	OG_00052	HQ_SNG_000184	SSX5	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.5	0.18181818181818182	1	2
ENSG00000165584	OG_00052	HQ_SNG_000185	SSX3	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.25	0.08333333333333333	6	3
ENSG00000187754	OG_00052	HQ_SNG_000380	SSX7	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.25	0.0	6	4
ENSG00000268009	OG_00052	HQ_18506	SSX4	HUMAN	5	multi_copy	1to1	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.25	0.09090909090909091	6	5
