ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_RATNO	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_RATNO
ENSG00000180801	OG_12953	HQ_11189	ARSJ	HUMAN	5	1to1	1to1	ENSRNOG00000000001	HQ_11189	Arsj	RATNO	5	1to1	1to1	89.6494	89.9497	100.0	90.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000128683	OG_06827	HQ_05257	GAD1	HUMAN	5	1to1	1to1	ENSRNOG00000000007	HQ_05257	Gad1	RATNO	5	1to1	1to1	93.771	92.0661	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000052850	OG_02720	HQ_01159	ALX4	HUMAN	5	1to1	1to1	ENSRNOG00000000008	HQ_01159	Alx4	RATNO	5	1to1	1to1	89.0511	91.7293	100.0	8.0	1.0	0.6	0.6	1	1
ENSG00000102924	OG_04293	HQ_02746	CBLN1	HUMAN	5	1to1	1to1	ENSRNOG00000000010	HQ_02746	Cbln1	RATNO	5	1to1	1to1	99.4819	99.4819	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSG00000125878	OG_06605	HQ_05043	TCF15	HUMAN	5	1to1	1to1	ENSRNOG00000000012	HQ_05043	Tcf15	RATNO	5	1to1	1to1	92.4623	94.359	100.0	98.85	1.0	0.5555555555555556	0.4	1	1
ENSG00000164647	OG_01284	HQ_00322	STEAP1	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000017	HQ_00322	Steap1	RATNO	5	multi_copy	multi_copy	82.8909	82.8909	75.0	25.89	1.0	0.4	0.4	1	1
ENSG00000105889	OG_01284	HQ_00322	STEAP1B	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000017	HQ_00322	Steap1	RATNO	5	multi_copy	multi_copy	79.5455	61.9469	0.0	0.0	0.0	0.09090909090909091	0.09090909090909091	1	2
ENSG00000171823	OG_01807	HQ_14999	FBXL14	HUMAN	4	multi_copy	1to1	ENSRNOG00000000021	HQ_SNG_011508	AABR07061902.1	RATNO	4	multi_copy	singleton	74.6412	90.4348	0.0	0.0	0.0	0.2	0.0	2	1
ENSG00000013583	OG_02418	HQ_00861	HEBP1	HUMAN	5	1to1	1to1	ENSRNOG00000000024	HQ_00861	Hebp1	RATNO	5	1to1	1to1	86.7725	86.3158	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000133069	OG_07285	HQ_05697	TMCC2	HUMAN	5	1to1	1to1	ENSRNOG00000000033	HQ_05697	Tmcc2	RATNO	5	1to1	1to1	93.9351	94.3343	100.0	62.86	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000163545	OG_10552	HQ_08876	NUAK2	HUMAN	5	1to1	1to1	ENSRNOG00000000034	HQ_08876	Nuak2	RATNO	5	1to1	1to1	85.6688	84.326	100.0	0.0	1.0	0.6	0.6	1	1
ENSG00000162873	OG_10410	HQ_08738	KLHDC8A	HUMAN	5	1to1	1to1	ENSRNOG00000000036	HQ_08738	Klhdc8a	RATNO	5	1to1	1to1	95.7143	95.7143	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000135835	OG_07624	HQ_06040	KIAA1614	HUMAN	5	1to1	1to1	ENSRNOG00000000040	HQ_06040	RGD1304622	RATNO	5	1to1	1to1	54.958	54.6366	100.0	0.0	1.0	1.0	1.0	1	1
ENSG00000145217	OG_16007	HQ_14387	SLC26A1	HUMAN	4	1to1	1to1	ENSRNOG00000000041	HQ_14387	Slc26a1	RATNO	4	1to1	1to1	78.3167	76.356	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000143324	OG_08559	HQ_06959	XPR1	HUMAN	5	1to1	1to1	ENSRNOG00000000042	HQ_06959	Xpr1	RATNO	5	1to1	1to1	93.3908	93.3908	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000127415	OG_06722	HQ_05157	IDUA	HUMAN	5	1to1	1to1	ENSRNOG00000000043	HQ_05157	Idua	RATNO	5	1to1	1to1	76.876	78.0715	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000127419	OG_06724	HQ_05158	TMEM175	HUMAN	5	1to1	1to1	ENSRNOG00000000044	HQ_05158	Tmem175	RATNO	5	1to1	1to1	80.754	81.5631	100.0	0.0	1.0	0.6	0.6	1	1
ENSG00000085117	OG_03485	HQ_01923	CD82	HUMAN	5	1to1	1to1	ENSRNOG00000000047	HQ_01923	Cd82	RATNO	5	1to1	1to1	70.0375	69.0037	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000178950	OG_12780	HQ_11029	GAK	HUMAN	5	1to1	1to1	ENSRNOG00000000048	HQ_11029	Gak	RATNO	5	1to1	1to1	82.0748	82.4521	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000127220	OG_06707	HQ_05141	ABHD8	HUMAN	5	1to1	1to1	ENSRNOG00000000054	HQ_05141	Abhd8	RATNO	5	1to1	1to1	87.2437	85.3007	100.0	0.0	1.0	0.5714285714285714	0.1	1	1
ENSG00000185619	OG_16738	HQ_15430	PCGF3	HUMAN	4	1to1	1to1	ENSRNOG00000000062	HQ_15430	Pcgf3	RATNO	4	1to1	1to1	97.5207	89.7338	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000133256	OG_07306	HQ_05718	PDE6B	HUMAN	5	1to1	1to1	ENSRNOG00000000065	HQ_05718	Pde6b	RATNO	5	1to1	1to1	93.0913	92.8738	75.0	0.0	1.0	0.1111111111111111	0.1111111111111111	1	1
ENSG00000143756	OG_08630	HQ_07035	FBXO28	HUMAN	5	1to1	1to1	ENSRNOG00000000066	HQ_07035	Fbxo28	RATNO	5	1to1	1to1	95.1087	95.1087	75.0	56.71	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000066027	OG_02919	HQ_01356	PPP2R5A	HUMAN	5	1to1	1to1	ENSRNOG00000000068	HQ_01356	Ppp2r5a	RATNO	5	1to1	1to1	97.9424	97.9424	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSG00000117505	OG_05840	HQ_04299	DR1	HUMAN	5	1to1	1to1	ENSRNOG00000000070	HQ_04299	Dr1	RATNO	5	1to1	1to1	98.2955	99.4253	50.0	0.0	0.0	0.2222222222222222	0.2222222222222222	1	1
ENSG00000117500	OG_05838	HQ_04297	TMED5	HUMAN	5	1to1	1to1	ENSRNOG00000000073	HQ_04297	Tmed5	RATNO	5	1to1	1to1	88.6463	66.3399	100.0	0.0	1.0	0.75	0.75	1	1
