ensembl_id_RATNO	ens_orthogroup_id	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_RATNO	ortholog_rank_MACFA
ENSRNOG00000015275	OG_09643	HQ_08028	Ska1	RATNO	5	1to1	1to1	ENSMFAG00000000025	HQ_08028	SKA1	MACFA	5	1to1	1to1	70.7224	72.9412	100.0	0.0	1.0	0.42857142857142855	0.25	1	1
ENSRNOG00000009209	OG_12724	HQ_10982	Slitrk1	RATNO	5	1to1	1to1	ENSMFAG00000000028	HQ_10982	SLITRK1	MACFA	5	1to1	1to1	92.6724	97.2851	75.0	0.0	1.0	0.3076923076923077	0.3076923076923077	1	1
ENSRNOG00000009815	OG_14916	HQ_13004	Pnma2	RATNO	5	1to1	1to1	ENSMFAG00000000029	HQ_13004	PNMA2	MACFA	5	1to1	1to1	79.3956	79.3956	100.0	100.0	1.0	1.0	1.0	1	1
ENSRNOG00000020877	OG_01459	HQ_16392	Pyy	RATNO	5	multi_copy	1to1	ENSMFAG00000000034	HQ_SNG_001564		MACFA	5	multi_copy	singleton	73.4694	28.3465	100.0	0.0	0.0	0.5	0.36363636363636365	1	1
ENSRNOG00000018822	OG_04604	HQ_03046	Slc5a5	RATNO	5	1to1	1to1	ENSMFAG00000000036	HQ_03046	SLC5A5	MACFA	5	1to1	1to1	83.8188	80.5599	50.0	0.0	0.0	0.625	0.4444444444444444	1	1
ENSRNOG00000003990	OG_12690	HQ_10948	Grb2	RATNO	5	1to1	1to1	ENSMFAG00000000037	HQ_10948	GRB2	MACFA	5	1to1	1to1	100.0	97.7169	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSRNOG00000021681	OG_04228	HQ_02678	Eea1	RATNO	5	1to1	1to1	ENSMFAG00000000038	HQ_02678	EEA1	MACFA	5	1to1	1to1	85.616	85.616	100.0	95.67	1.0	0.1	0.1	1	1
ENSRNOG00000007237	OG_05658	HQ_SNG_011740	Id2	RATNO	5	1to1	singleton	ENSMFAG00000000039	HQ_13833	ID2	MACFA	5	1to1	1to1	34.3085	63.5468	100.0	0.0	0.0	0.5	0.3333333333333333	1	1
ENSRNOG00000005780	OG_10137	HQ_08497	Adamts13	RATNO	5	1to1	1to1	ENSMFAG00000000040	HQ_08497	ADAMTS13	MACFA	5	1to1	1to1	63.6491	70.0927	100.0	0.0	1.0	0.5	0.36363636363636365	1	1
ENSRNOG00000017659	OG_06244	HQ_04693	Hs3st2	RATNO	5	1to1	1to1	ENSMFAG00000000041	HQ_04693	HS3ST2	MACFA	5	1to1	1to1	95.9128	95.9128	100.0	0.07	1.0	0.6363636363636364	0.6363636363636364	1	1
