ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_MOUSE	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_MOUSE
ENSG00000065135	OG_02886	HQ_01321	GNAI3	HUMAN	5	1to1	1to1	ENSMUSG00000000001	HQ_01321	Gnai3	MOUSE	5	1to1	1to1	98.3051	98.3051	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000093009	OG_03751	HQ_02191	CDC45	HUMAN	5	1to1	1to1	ENSMUSG00000000028	HQ_02191	Cdc45	MOUSE	5	1to1	1to1	91.6961	91.6961	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000102098	OG_04219	HQ_16251	SCML2	HUMAN	5	1to1	1to1	ENSMUSG00000000037	HQ_SNG_007827	Scml2	MOUSE	5	1to1	singleton	36.3261	50.2857	100.0	83.29	0.0	0.6666666666666666	0.0	1	1
ENSG00000091583	OG_01194	HQ_00305	APOH	HUMAN	5	multi_copy	multi_copy	ENSMUSG00000000049	HQ_00305	Apoh	MOUSE	5	multi_copy	multi_copy	76.5217	76.5217	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000141562	OG_08394	HQ_06805	NARF	HUMAN	5	1to1	1to1	ENSMUSG00000000056	HQ_06805	Narf	MOUSE	5	1to1	1to1	85.5263	84.4156	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000105971	OG_04671	HQ_03111	CAV2	HUMAN	5	1to1	1to1	ENSMUSG00000000058	HQ_03111	Cav2	MOUSE	5	1to1	1to1	90.1235	90.1235	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000067082	OG_02952	HQ_13438	KLF6	HUMAN	5	1to1	1to1	ENSMUSG00000000078	HQ_13438	Klf6	MOUSE	5	1to1	1to1	84.5912	95.053	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000010803	OG_02357	HQ_00801	SCMH1	HUMAN	5	1to1	1to1	ENSMUSG00000000085	HQ_00801	Scmh1	MOUSE	5	1to1	1to1	88.806	84.2776	100.0	100.0	1.0	0.1111111111111111	0.1111111111111111	1	1
ENSG00000178741	OG_01870	HQ_11015	COX5A	HUMAN	5	multi_copy	1to1	ENSMUSG00000000088	HQ_11015	Cox5a	MOUSE	5	multi_copy	1to1	85.3333	87.6712	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000121068	OG_06157	HQ_04608	TBX2	HUMAN	5	1to1	1to1	ENSMUSG00000000093	HQ_04608	Tbx2	MOUSE	5	1to1	1to1	95.0843	95.218	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000121075	OG_06159	HQ_04610	TBX4	HUMAN	5	1to1	1to1	ENSMUSG00000000094	HQ_04610	Tbx4	MOUSE	5	1to1	1to1	93.5897	92.5725	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000198464	OG_00025	HQ_18248	ZNF480	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	19.4393	13.3848	0.0	0.0	0.0	0.14285714285714285	0.0	2	1
ENSG00000105136	OG_00025	HQ_17654	ZNF419	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.451	11.4543	0.0	0.0	0.0	0.14285714285714285	0.0	2	2
ENSG00000197128	OG_00025	HQ_18219	ZNF772	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	19.4196	11.1969	0.0	0.0	0.0	0.14285714285714285	0.0	2	3
ENSG00000171469	OG_00025	HQ_SNG_000234	ZNF561	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.4897	10.9395	0.0	0.0	0.0	0.14285714285714285	0.0	2	4
ENSG00000121406	OG_00025	HQ_17705	ZNF549	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.0938	13.2561	0.0	0.0	0.0	0.125	0.0	2	5
ENSG00000152439	OG_00025	HQ_16503	ZNF773	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	20.5882	11.7117	0.0	0.0	0.0	0.125	0.0	2	6
ENSG00000083828	OG_00025	HQ_SNG_000017	ZNF586	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	21.1443	10.9395	0.0	0.0	0.0	0.125	0.0	2	7
ENSG00000167554	OG_00025	HQ_SNG_000194	ZNF610	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.0996	10.1673	0.0	0.0	0.0	0.125	0.0	2	8
ENSG00000171466	OG_00025	HQ_SNG_000233	ZNF562	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.1972	8.88031	0.0	0.0	0.0	0.125	0.0	2	9
ENSG00000188227	OG_00025	HQ_16926	ZNF793	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.0099	8.36551	0.0	0.0	0.0	0.125	0.0	2	10
ENSG00000178935	OG_00025	HQ_SNG_000287	ZNF552	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	15.7248	8.23681	0.0	0.0	0.0	0.125	0.0	2	11
ENSG00000180884	OG_00025	HQ_16821	ZNF792	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.7215	14.4144	0.0	0.0	0.0	0.1111111111111111	0.0	2	12
ENSG00000196724	OG_00025	HQ_SNG_000429	ZNF418	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.2722	14.157	0.0	0.0	0.0	0.1111111111111111	0.0	2	13
ENSG00000152454	OG_00025	HQ_17823	ZNF256	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	15.7895	12.7413	0.0	0.0	0.0	0.1111111111111111	0.0	2	14
ENSG00000213762	OG_00025	HQ_18348	ZNF134	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	19.6721	10.8108	0.0	0.0	0.0	0.1111111111111111	0.0	2	15
ENSG00000171574	OG_00025	HQ_16694	ZNF584	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	18.5273	10.0386	0.0	0.0	0.0	0.1111111111111111	0.0	2	16
ENSG00000269343	OG_00025	HQ_SNG_001176	ZNF587B	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.0616	13.8996	0.0	0.0	0.0	0.1	0.0	2	17
ENSG00000188785	OG_00025	HQ_18179	ZNF548	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	17.4312	12.2265	0.0	0.0	0.0	0.1	0.0	2	18
ENSG00000152475	OG_00025	HQ_SNG_000140	ZNF837	HUMAN	5	multi_copy	singleton	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	14.8776	10.1673	0.0	0.0	0.0	0.1	0.0	2	19
ENSG00000131845	OG_00025	HQ_16401	ZNF304	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.2367	13.7709	0.0	0.0	0.0	0.09090909090909091	0.0	2	20
ENSG00000179909	OG_00025	HQ_18046	ZNF154	HUMAN	5	multi_copy	1to1	ENSMUSG00000000103	HQ_17298	Zfy2	MOUSE	5	multi_copy	multi_copy	16.476	9.26641	0.0	0.0	0.0	0.09090909090909091	0.0	2	21
ENSG00000064300	OG_02861	HQ_01294	NGFR	HUMAN	5	1to1	1to1	ENSMUSG00000000120	HQ_01294	Ngfr	MOUSE	5	1to1	1to1	92.0375	92.0375	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000108379	OG_04903	HQ_03347	WNT3	HUMAN	5	1to1	1to1	ENSMUSG00000000125	HQ_03347	Wnt3	MOUSE	5	1to1	1to1	98.8732	98.8732	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000143816	OG_08640	HQ_07046	WNT9A	HUMAN	5	1to1	1to1	ENSMUSG00000000126	HQ_07046	Wnt9a	MOUSE	5	1to1	1to1	97.2603	97.2603	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000151422	OG_09328	HQ_07725	FER	HUMAN	5	1to1	1to1	ENSMUSG00000000127	HQ_07725	Fer	MOUSE	5	1to1	1to1	93.0657	92.9526	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000169180	OG_11617	HQ_09918	XPO6	HUMAN	5	1to1	1to1	ENSMUSG00000000131	HQ_09918	Xpo6	MOUSE	5	1to1	1to1	97.9556	97.9556	75.0	100.0	1.0	0.5	0.5	1	1
