ensembl_id_MACFA	ens_orthogroup_id	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MACFA	ortholog_rank_PIGXX
ENSMFAG00000033240	OG_03194	HQ_01632	GTSE1	MACFA	5	1to1	1to1	ENSSSCG00000000002	HQ_01632	GTSE1	PIGXX	5	1to1	1to1	55.2239	50.0677	100.0	95.4	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMFAG00000030939	OG_03196	HQ_01634	TTC38	MACFA	5	1to1	1to1	ENSSSCG00000000003	HQ_01634	TTC38	PIGXX	5	1to1	1to1	85.102	65.1562	100.0	22.28	1.0	0.5	0.5	1	1
ENSMFAG00000030588	OG_16988	HQ_15766	CDPF1	MACFA	4	1to1	1to1	ENSSSCG00000000005	HQ_15766	CDPF1	PIGXX	4	1to1	1to1	76.4228	76.4228	100.0	0.0	1.0	0.36363636363636365	0.36363636363636365	1	1
ENSMFAG00000031738	OG_13634	HQ_11830	PPARA	MACFA	5	1to1	1to1	ENSSSCG00000000006	HQ_11830	PPARA	PIGXX	5	1to1	1to1	94.2184	94.2184	100.0	0.0	1.0	0.4	0.4	1	1
ENSMFAG00000039767	OG_03973	HQ_02413	TRMU	MACFA	5	1to1	1to1	ENSSSCG00000000007	HQ_02413	TRMU	PIGXX	5	1to1	1to1	87.1734	87.1734	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000040388	OG_03289	HQ_01729	FBLN1	MACFA	5	1to1	1to1	ENSSSCG00000000010	HQ_01729	FBLN1	PIGXX	5	1to1	1to1	62.149	70.7928	100.0	99.69	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000032639	OG_03964	HQ_02403	FAM118A	MACFA	5	1to1	1to1	ENSSSCG00000000014	HQ_02403	FAM118A	PIGXX	5	1to1	1to1	92.1569	79.0865	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMFAG00000041430	OG_03960	HQ_02399	KIAA0930	MACFA	5	1to1	1to1	ENSSSCG00000000018	HQ_02399	KIAA0930	PIGXX	5	1to1	1to1	89.9123	90.1099	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSMFAG00000035770	OG_00777	HQ_02190	NUP50	MACFA	5	multi_copy	1to1	ENSSSCG00000000019	HQ_02190	NUP50	PIGXX	5	multi_copy	1to1	78.1818	61.4286	100.0	0.0	1.0	0.5	0.5	1	1
ENSMFAG00000041339	OG_02769	HQ_01207	PHF21B	MACFA	5	1to1	1to1	ENSSSCG00000000020	HQ_01207	PHF21B	PIGXX	5	1to1	1to1	93.2515	85.8757	100.0	2.33	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSMFAG00000031694	OG_14928	HQ_13016	ARHGAP8	MACFA	5	1to1	1to1	ENSSSCG00000000021	HQ_13016	ARHGAP8	PIGXX	5	1to1	1to1	76.3374	55.0445	100.0	11.97	1.0	0.5	0.3333333333333333	1	1
ENSMFAG00000029989	OG_13801	HQ_11985	RTL6	MACFA	5	1to1	1to1	ENSSSCG00000000022	HQ_11985	RTL6	PIGXX	5	1to1	1to1	95.3975	95.3975	100.0	100.0	1.0	0.5	0.3333333333333333	1	1
ENSMFAG00000033736	OG_13807	HQ_11992	PARVB	MACFA	5	1to1	1to1	ENSSSCG00000000024	HQ_11992	PARVB	PIGXX	5	1to1	1to1	80.2703	74.8111	100.0	99.6	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSMFAG00000031242	OG_08087	HQ_06496	PARVG	MACFA	5	1to1	1to1	ENSSSCG00000000025	HQ_06496	PARVG	PIGXX	5	1to1	1to1	78.852	61.5566	100.0	0.0	1.0	0.5	0.2857142857142857	1	1
ENSMFAG00000037741	OG_06979	HQ_SNG_002598		MACFA	5	1to1	singleton	ENSSSCG00000000026	HQ_14079	SULT4A1	PIGXX	5	1to1	1to1	28.8462	43.3526	100.0	0.0	0.0	0.5555555555555556	0.16666666666666666	1	1
ENSMFAG00000036892	OG_13637	HQ_15480	EFCAB6	MACFA	5	1to1	1to1	ENSSSCG00000000028	HQ_SNG_017071		PIGXX	5	1to1	singleton	71.8861	13.4577	100.0	0.0	0.0	0.36363636363636365	0.07142857142857142	1	1
ENSMFAG00000026094	OG_10041	HQ_08411	SCUBE1	MACFA	5	1to1	1to1	ENSSSCG00000000029	HQ_08411	SCUBE1	PIGXX	5	1to1	1to1	92.2999	92.2999	100.0	85.57	1.0	0.5	0.36363636363636365	1	1
ENSMFAG00000034251	OG_03933	HQ_02373	MCAT	MACFA	5	1to1	1to1	ENSSSCG00000000031	HQ_02373	MCAT	PIGXX	5	1to1	1to1	63.7681	78.9744	100.0	96.93	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000033600	OG_03938	HQ_02377	TSPO	MACFA	5	1to1	1to1	ENSSSCG00000000033	HQ_02377	TSPO	PIGXX	5	1to1	1to1	84.0237	84.0237	100.0	98.53	1.0	0.625	0.625	1	1
ENSMFAG00000041466	OG_03939	HQ_02378	TTLL12	MACFA	5	1to1	1to1	ENSSSCG00000000034	HQ_02378	TTLL12	PIGXX	5	1to1	1to1	87.4138	79.0952	100.0	100.0	1.0	0.5555555555555556	0.4	1	1
ENSMFAG00000031274	OG_03926	HQ_02366	TTLL1	MACFA	5	1to1	1to1	ENSSSCG00000000035	HQ_02366	TTLL1	PIGXX	5	1to1	1to1	85.2349	90.0709	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMFAG00000041486	OG_03925	HQ_02365	PACSIN2	MACFA	5	1to1	1to1	ENSSSCG00000000036	HQ_02365	PACSIN2	PIGXX	5	1to1	1to1	81.9703	90.7407	100.0	19.2	1.0	0.75	0.75	1	1
ENSMFAG00000043297	OG_14939	HQ_13026	ARFGAP3	MACFA	5	1to1	1to1	ENSSSCG00000000037	HQ_13026	ARFGAP3	PIGXX	5	1to1	1to1	87.5252	82.2306	75.0	4.36	1.0	1.0	1.0	1	1
ENSMFAG00000031130	OG_03921	HQ_02362	CYB5R3	MACFA	5	1to1	1to1	ENSSSCG00000000038	HQ_02362	CYB5R3	PIGXX	5	1to1	1to1	91.6667	74.9319	100.0	0.0	1.0	0.75	0.75	1	1
ENSMFAG00000044670	OG_03916	HQ_02357	POLDIP3	MACFA	5	1to1	1to1	ENSSSCG00000000039	HQ_02357	POLDIP3	PIGXX	5	1to1	1to1	94.7619	91.0755	50.0	82.67	1.0	0.5	0.5	1	1
ENSMFAG00000039306	OG_03906	HQ_SNG_002701		MACFA	5	1to1	singleton	ENSSSCG00000000040	HQ_13562	SEPTIN3	PIGXX	5	1to1	1to1	43.5105	98.324	100.0	0.0	0.0	0.42857142857142855	0.25	1	1
ENSMFAG00000039783	OG_13389	HQ_11600	NDUFA6	MACFA	5	1to1	1to1	ENSSSCG00000000045	HQ_11600	NDUFA6	PIGXX	5	1to1	1to1	81.1688	81.1688	100.0	0.0	1.0	0.625	0.625	1	1
ENSMFAG00000042506	OG_00179	HQ_00023	CYP2D8	MACFA	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	69.8	70.0803	100.0	0.0	1.0	0.5	0.5	1	1
ENSMFAG00000002492	OG_14373	HQ_12534	NAGA	MACFA	5	1to1	1to1	ENSSSCG00000000050	HQ_12534	NAGA	PIGXX	5	1to1	1to1	83.2041	78.3455	100.0	0.0	1.0	1.0	0.42857142857142855	1	1
